Screenshot,Publication Name,Authors,Published On,Link to download,Innovation,Objective,Sector,Region,Methodology,Abstract
Managing Innovation.PNG,Managing Innovation in a Crowd,"Acemoglu, Daron and Mostagir, Mohamed and Ozdaglar, Asuman E.",1/17/2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2382917,Citizen Engagement and Crowdsourcing,Effectiveness,,North America,Conceptual Framework,"Crowdsourcing is an emerging technology where innovation and production are sourced out to the public through an open call. At the center of crowdsourcing is a resource allocation problem: there is an abundance of workers but a scarcity of high skills, and an easy task assigned to a high-skill worker is a waste of resources. This problem is complicated by the fact that the exact difficulties of innovation tasks may not be known in advance, so tasks that require high-skill labor cannot be identified and allocated ahead of time. We show that the solution to this problem takes the form of a skill hierarchy, where tasks are first attempted by low-skill labor, and high skill workers only engage with a task if less skilled workers are unable to finish it. This hierarchy can be constructed and implemented in a decentralized manner even though neither the difficulties of the tasks nor the skills of the candidate workers are known. We provide a dynamic pricing mechanism that achieves this implementation by inducing workers to self-select into different layers. The mechanism is simple: each time a task is attempted and not finished, its price (reward upon completion) goes up."
How Open Data Are.png,How Open Data Are Turned into Services?,"Muriel Foulonneau, Sébastien Martin, Slim Turki",2014,http://link.springer.com/chapter/10.1007/978-3-319-04810-9_3,Open Data,Effectiveness,,,Conceptual Framework,"The Open Data movement has mainly been a data provision movement. The release of Open Data is usually motivated by (i) government transparency (citizen access to government data), (ii) the development of services by third parties for the benefit for citizens and companies (typically smart city approach), or (iii) the development of new services that stimulate the economy. The success of the Open Data movement and its return on investment should therefore be assessed among other criteria by the number and impact of the services created based on those data. In this paper, we study the development of services based on open data and means to make the data opening process more effective."
Breaking Public.png,Breaking Public Administrations’ Data Silos,"Raimondo Iemma, Federico Morando, Michele Osella",2014,http://www.jedem.org/article/view/304,Open Data,"Access, Effectiveness, Legitimacy",,,"Case Analysis, Comparative Analysis","An open reuse of public data and tools can turn the government into a powerful ‘platform’ also involving external innovators. However, the typical information system of a public agency is not open by design. Several public administrations have started adopting technical solutions to overcome this issue, typically in the form of middleware layers operating as ‘buses’ between data centres and the outside world. Open-DAI is an open source platform designed to expose data as services, directly pulling from legacy databases of the data holder. The platform is the result of an ongoing project funded under the EU ICT PSP call 2011. We present the rationale and features of Open-DAI, also through a comparison with three other open data platforms: the Socrata Open Data portal, CKAN, and ENGAGE."
Data Heart Beat.png,Cities’ Open Government Data Heart Beat,"Karine Nahon, Alon Peled, Jennifer Shkabatur",3/9/2015,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2575510,"Data Analysis, Open Data","Effectiveness, Legitimacy",,,"Conceptual Framework, Quantitative Analysis","This paper develops and tests a theoretical model, which assesses the commitment of cities to the concept of open government data (OGD), according to three levels. Level 1, ‘Way of life,’ reflects a high commitment to OGD; Level 2, ‘On the Fence,’ represents either a low or erratic commitment to OGD; Level 3, ‘Lip Service,’ refers to either scarce or no commitment to OGD. These levels draw on four key dimensions: 1) Rhythm; 2) Span of Issues; 3) Disclosure; and 4) Feedback. We empirically examine this theoretical framework using longitudinal mixed-method analysis of the OGD behavior of 16 US cities for a period of four years, using a large novel corpus of municipal OGD metadata, as well as primary qualitative and secondary quantitative indicators. This methodology allows us to represent, for the first time, the evolving OGD commitment — or “OGD heart beat” — of cities."
Citizens Use.png,Citizens' Use of New Media in Authoritarian Regimes: A Case Study of Uganda,"Åke Grönlund, Wairagala Wakabi",2015,http://www.ejisdc.org/ojs2/index.php/ejisdc/article/view/1437/558,"Citizen Engagement and Crowdsourcing, Civic Technology",Participation,,Africa,Case Analysis,"By subsidizing the costs of civic participation, the use of the Internet use is believed to stimulate participation but there are fears that intensive Internet use causes withdrawal from public life. This paper investigates the connection between the way individuals participate online and offline in authoritarian, low-income regimes, and the nature of eParticipation among citizens in authoritarian regimes such as Uganda. Based on personal interviews with 116 Internet users, the study found that common drivers of eParticipation, such as low cost, security and anonymity are hard to transplant into the offline world for citizens of authoritarian states such as Uganda. Perceived risks of retribution and intimidation for expressing a particular opinion or supporting a political cause mean that citizen-to-citizen participation is the predominant form but still at low levels, while citizen-to-government participation is negligible."
Collective Intelligence or Group.png,Collective Intelligence or Group Think? Engaging Participation Patterns in World without Oil,"Nassim Jafari Naimi, Eric M. Meyers",3/1/2015,http://dl.acm.org/citation.cfm?id=2675258,Citizen Engagement and Crowdsourcing,Participation,"Energy, Environment",,Quantitative Analysis,"This article presents an analysis of participation patterns in an Alternate Reality Game, World Without Oil. This game aims to bring people together in an online environment to reflect on how an oil crisis might affect their lives and communities as a way to both counter such a crisis and to build collective intelligence about responding to it. We present a series of participation profiles based on a quantitative analysis of 1554 contributions to the game narrative made by 322 players. We further qualitatively analyze a sample of these contributions. We outline the dominant themes, the majority of which engage the global oil crisis for its effects on commute options and present micro-sustainability solutions in response. We further draw on the quantitative and qualitative analysis of this space to discuss how the design of the game, specifically its framing of the problem, feedback mechanism, and absence of subject-matter expertise, counter its aim of generating collective intelligence, making it conducive to groupthink."
Competition-Based.png,Competition-Based Innovation: The Case of the X Prize Foundation,"Mokter Hossain, Ilkka Kauranen",10/20/2014,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2549616,Citizen Engagement and Crowdsourcing,Effectiveness,,,Case Analysis,"The use of competition-based processes for the development of innovations is increasing. In parallel with the increasing use of competition-based innovation in business firms, this model of innovation is successfully being used by non-profit organizations for advancing the development of science and technology. One such non-profit organization is the X Prize Foundation, which designs and manages innovation competitions to encourage scientific and technological development. The objective of this article is to analyze the X Prize Foundation and three of the competitions it has organized in order to identify the challenges of competition-based innovation and how to overcome them."
Crowdsourcing Dilemma.png,Crowdsourcing Dilemma,"Victor Naroditskiy, Nicholas R. Jennings, Pascal Van Hetenryck, Manuel Cebrian",2/22/2014,http://arxiv.org/abs/1304.3548,Citizen Engagement and Crowdsourcing,Participation,,,"Quantitative Analysis, Statistical Modeling","Crowdsourcing offers unprecedented potential for solving tasks efficiently by tapping into the skills of large groups of people. A salient feature of crowdsourcing---its openness of entry---makes it vulnerable to malicious behavior. Such behavior took place in a number of recent popular crowdsourcing competitions. We provide game-theoretic analysis of a fundamental tradeoff between the potential for increased productivity and the possibility of being set back by malicious behavior. Our results show that in crowdsourcing competitions malicious behavior is the norm, not the anomaly---a result contrary to the conventional wisdom in the area. Counterintuitively, making the attacks more costly does not deter them but leads to a less desirable outcome. These findings have cautionary implications for the design of crowdsourcing competitions."
Data Democracy.png,Data democracy - increased supply of geospatial information and expanded participatory processes in the production of data,"Max Craglia, Lea Shanley",2/13/2015,http://www.tandfonline.com/doi/full/10.1080/17538947.2015.1008214#abstract,Citizen Engagement and Crowdsourcing,Participation,,,Conceptual Framework,"The global landscape in the supply, co-creation and use of geospatial data is changing very rapidly with new satellites, sensors and mobile devices reconfiguring the traditional lines of demand and supply and the number of actors involved. In this paper we chart some of these technology-led developments and then focus on the opportunities they have created for the increased participation of the public in generating and contributing information for a wide range of uses, scientific and non. Not all this information is open or geospatial, but sufficiently large portions of it are to make it one of the most significant phenomena of the last decade. In fact, we argue that while satellite and sensors have exponentially increased the volumes of geospatial information available, the participation of the public is transformative because it expands the range of participants and stakeholders in society using and producing geospatial information, with opportunities for more direct participation in science, politics and social action."
Developing Together.png,Developing Together: Investigating best practices for community development and public consultation,Jennifer Lawrence,4/1/2014,http://trentcentre.ca/documents/public/4458FinalReport.pdf?utm_content=buffer8a279&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Citizen Engagement and Crowdsourcing,"Effectiveness, Participation",,North America,Survey,"This investigation was undertaken in order to determine some best practices for
planning and conducting public consultations (PC), community engagement (CE) sessions,
and similar activities. In partnering with the Peterborough Social Planning Council (PSPC)
and the Peterborough County-City Health Unit (PCCHU) I have complied data on current PC
and CE practices used by governments and large scale NGOs."
Do Experts or.png,Do Experts or Collective Intelligence Write with More Bias? Evidence from Encyclopaedia Britannica and Wikipedia,"Shane Greenstein, Feng Zhu",10/10/2014,http://www.hbs.edu/faculty/Publication%20Files/15-023_145191c4-220f-4dd8-8d41-ee2d1f693716.pdf,Citizen Engagement and Crowdsourcing,Participation,,,"Comparative Analysis, Quantitative Analysis","Which source of information contains greater bias and slant—text written by an expert or that
constructed via collective intelligence? Do the costs of acquiring, storing, displaying and revising
information shape those differences? We evaluate these questions empirically by examining slanted
and biased phrases in content on US political issues from two sources—Encyclopædia Britannica
and Wikipedia. Our overall slant measure is less (more) than zero when an article leans towards
Democrat (Republican) viewpoints, while bias is the absolute value of the slant. Using a matched
sample of pairs of articles from Britannica and Wikipedia, we show that, overall, Wikipedia articles
are more slanted towards Democrat than Britannica articles, as well as more biased. Slanted
Wikipedia articles tend to become less biased than Britannica articles on the same topic as they
become substantially revised, and the bias on a per word basis hardly differs between the sources.
These results have implications for the segregation of readers in online sources and the allocation of
editorial resources in online sources using collective intelligence."
Does Enclave.png,Does Enclave Deliberation Polarize Opinions?,"Kimmo Grönlund, Kaisa Herne, Maija Setälä",2/8/2015,http://link.springer.com/article/10.1007/s11109-015-9304-x/fulltext.html?utm_content=buffer57ef6&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Citizen Engagement and Crowdsourcing,Participation,,,"Quantitative Analysis, Survey","When like-minded people discuss with each other, i.e. engage in ‘enclave deliberation’, their opinions tend to become more extreme. This is called group polarization. A population-based experiment with a pre-test post-test design was conducted to analyze whether the norms and procedures of deliberation interfere with the mechanisms of group polarization. Based on a survey, people with either permissive or restrictive attitudes toward immigration were first identified and then invited to the experiment. The participants were randomly assigned to like-minded and mixed small-n groups. Each like-minded group consisted of only permissive or restrictive participants, whereas each mixed group consisted of four permissive and four restrictive participants. The like-minded treatment represents enclave deliberation, and the mixed treatment a ‘standard’ deliberative mini-public design. The main finding of our experiment is that people with anti-immigrant attitudes become more tolerant even when they deliberate in like-minded groups. Moreover, similar learning curves are observed in both treatments. Based on the results, we conclude that deliberative norms can alleviate the negative consequences of discussion in like-minded groups."
Does Participatory Budgeting Improve.png,Does Participatory Budgeting Improve Decentralized Public Service Delivery?,"Diether W. Beuermann, Maria Amelina",11/1/2014,http://publications.iadb.org/bitstream/handle/11319/6699/Does-Participatory-Budgeting-Improve-Decentralized-Public-Service-Delivery.pdf?sequence=,Citizen Engagement and Crowdsourcing,"Effectiveness, Participation",,Europe,Quantitative Analysis,"This paper provides the first experimental evaluation of the participatory
budgeting model showing that it increased public participation in the process of
public decision making, increased local tax revenues collection, channeled larger
fractions of public budgets to services stated as top priorities by citizens, and
increased satisfaction levels with public services. These effects, however, were
found only when the model was implemented in already-mature administratively
and politically decentralized local governments. The findings highlight the
importance of initial conditions with respect to the decentralization context for the
success of participatory governance."
Effects of the Internet.png,Effects of the Internet on Participation: Study of a Public Policy Referendum in Brazil,"Paolo Spada, Jonathan Mellon, Tiago Peixoto, Fredrik M. Sjoberg",2/26/2015,http://documents.worldbank.org/curated/en/2015/02/24060569/effects-internet-participation-study-public-policy-referendum-brazil,"Citizen Engagement and Crowdsourcing, Civic Technology",Participation,,South America,"Statistical Modeling, Survey","Does online voting mobilize citizens who otherwise would not participate? During the annual participatory budgeting vote in the southern state of Rio Grande do Sul in Brazil -- the world's largest -- Internet voters were asked whether they would have participated had there not been an online voting option (i-voting). The study documents an 8.2 percent increase in total turn-out with the introduction of i-voting. In support of the mobilization hypothesis, unique survey data show that i-voting is mainly used by new participants rather than just for convenience by those who were already mobilized. The study also finds that age, gender, income, education, and social media usage are significant predictors of being online-only voters. Technology appears more likely to engage people who are younger, male, of higher income and educational attainment, and more frequent social media users."
Examining the Determinants.png,Examining the Determinants of Police Department Transparency: The View of Police Executives,"Joshua Chanin, Salvador Espinosa",2/6/2015,https://nacole.org/wp-content/uploads/Chanin_Espinosa.Examining-Determinants-of-Police-Department-Transparency_The-View-of-Police-Executives.DRAFT_.pdf?utm_content=bufferec8e6&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Open Data,"Access, Legitimacy",Public Safety,,"Quantitative Analysis, Survey","Scholars know relatively little about why law enforcement agencies choose to share information with the public. Empirical research has shown that departments often do so to satisfy an external demand, whether in the form of a statute requiring information to be collected and disseminated, the presence of a consent decree, or some other similar pressure. There is also evidence that transparency is the product of a unique constellation of factors within agencies that lead certain departments to share more information than others. But this line of inquiry is underdeveloped, and questions remain about the both the nature and degree to which these external and internal factors matter. The current research focuses on the role of the police executive in generating the agency’s response to transparency demands, with a particular focus on that generated by civilian oversight agencies, and the role that top leadership plays in establishing an organizational culture that values openness and transparency. To address these issues we draw on the results of a series of Q-sorting exercises and the insights gleaned from several semi-structured interviews with municipal police chiefs and county sheriffs. Preliminary results suggest that the vision and goals of police        
executives is critical to his or her department’s online transparency."
Five Design Principles.png,Five design principles for crowdsourced policymaking: Assessing the case of crowdsourced off-road traffic law in Finland,"Tanja Aitamurto, Hélène Landemore",2015,http://thefinnishexperiment.com/wp-content/uploads/2015/02/AitamurtoLandemore-final-revisionpdf.pdf?utm_content=buffer2a4e0&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,"Citizen Engagement and Crowdsourcing, Civic Technology","Effectiveness, Participation",,Europe,"Case Analysis, Conceptual Framework","This article reports a pioneering case study of a crowdsourced law-reform process in Finland. In the crowdsourcing
experiment, the public was invited to contribute to the law-reform process by sharing their knowledge and ideas for
a better policy. This article introduces a normative design framework of five principles for crowdsourced
policymaking: inclusiveness, accountability, transparency, modularity, and synthesis. Inclusiveness, accountability,
and transparency are overarching principles for crowdsourced policymaking. Modularity and synthesis support
these overarching principles and are instrumental in achieving the main goals of crowdsourced policymaking,
namely, an efficient search for knowledge and democratic deliberation among the participants. These principles
apply to both the design of the process and the medium that the process takes place in, i.e., the technology
facilitating crowdsourcing. This article analyzes the design of the crowdsourced off-road traffic law experiment in
Finland using the five principles described above and provides a future research agenda for examining design
aspects in crowdsourced policymaking."
Gender Gaps.png,Gender Gaps in Civic and Political Participation in Latin America,"Rosario Espinal, Shanyang Zhao",2/10/2015,http://onlinelibrary.wiley.com/doi/10.1111/j.1548-2456.2015.00262.x/abstract;jsessionid=DC4BEFFBE6E590F6C8324697CBB8DBD2.f02t01?deniedAccessCustomisedMessage=&userIsAuthenticated=false&utm_content=buffer7497f&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Citizen Engagement and Crowdsourcing,Participation,,"North America, South America","Quantitative Analysis, Statistical Modeling","This article examines whether there is gender segmentation in civic participation in Latin America, and whether such segmentation is related to gender differences in political participation. Confirming the findings of other studies, this analysis indicates that there is gender segmentation in civic associational activities, and that men are more involved than women in political activities, except for voting. Among those involved in civic activities, however, women attend meetings more often than men or about equally in all types of activities under consideration, except for sports and recreational pursuits. This highlights the need to differentiate between type and intensity of civic participation and provides empirical evidence that Latin American women have strong community ties through a variety of organizations. The regression analysis shows that civic engagement has a positive effect on political participation but that the magnitude of that effect varies by gender depending on the activity."
Government Information Sharing.png,"Government Information Sharing: Is Data Going Out of the Silos, Into the Mines?","Stephanie Perrin, Jennifer Barrigar, Robert Gellman",1/1/2015,http://www.oipc.ab.ca/Content_Files/Files/Publications/Report_GovtInfoSharing_Jan2015.pdf?utm_content=buffer6569a&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Open Data,"Access, Effectiveness",,North America,"Case Analysis, Comparative Analysis","This research explores government sharing of personal information across ministries and services, or
with the private sector for the provision of services. The report reviews material from many sources
on government data sharing activities with a particular focus on privacy. There is no explicit or
consensus framework for assessing or evaluating data sharing. While data sharing goes on in
Canada it does so under the rather antique framework of public sector laws that ill equip privacy
practitioners to deal with data mining realities of 2014. Meanwhile, there is ongoing discussion how
or whether privacy expectations need adjustment to reflect the new reality of “big data”."
Innovation Labs.png,Innovation Labs: Leveraging Openness for Radical Innovation?,"Lidia Gryszkiewicz, Ioanna Lykourentzou, Tuukka Toivonen",1/9/2015,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2556692,Labs and Experimentation,Effectiveness,,,"Comparative Analysis, Conceptual Framework","A growing range of public, private and civic organisations, from Unicef through Nesta to Tesco, now run units known as ‘innovation labs’. The hopeful assumption they share is that labs, by building on openness among other features, can generate promising solutions to grand challenges of the future. Despite their seeming proliferation and popularisation, the underlying innovation paradigm embodied by labs has so far received scant academic attention. This is a missed opportunity, because innovation labs are potentially fruitful vehicles for leveraging openness for radical innovation. Indeed, they not only strive to span organisational, sectoral and geographical boundaries by bringing a variety of uncommon actors together to embrace radical ideas and out-of-the box thinking, but they also aim to apply the concept of openness throughout the innovation process, including the experimentation and development phases. While the phenomenon of labs clearly forms part of a broader trend towards openness, it seems to transcend traditional conceptualisations of open innovation (Chesbrough, 2006), open strategy (Whittington et al., 2011), open science (David, 1998) or open government (Janssen et al., 2012). What are innovation labs about, how do they differ from other innovation efforts and how do they embrace openness to create breakthrough innovations? This short exploratory paper is an introduction to a larger empirical study aiming to answer these questions."
Distributed Internet Governance.png,Innovations in Global Governance: Towards a Distributed Internet Governance Ecosystem,"Stefaan G. Verhulst, Beth S. Noveck, Jillian Raines, Antony Declercq",12/23/2014,https://www.cigionline.org/publications/innovations-global-governance-toward-distributed-internet-governance-ecosystem,"Citizen Engagement and Crowdsourcing, Expert Networking","Access, Effectiveness, Legitimacy, Participation",,,Conceptual Framework,"The growth and globalization of the Internet over the past 40 years has been nothing short of remarkable. Virtually all sectors, from development to healthcare to education to politics, have been transformed. Yet developments in how the Internet is governed have not kept pace with this rapid technological innovation. Figuring out how to evolve the Internet’s governance in ways that are effective and legitimate is essential to ensure its continued potential. Flexible and innovative decision-making mechanisms are needed in order to enable disparate governance actors to address and respond effectively as changes in the network occur. This paper seeks to address the need to develop an effective and legitimate Internet governance ecosystem by proposing a distributed yet coordinated framework that can accommodate a plurality of existing and emerging decision-making approaches. It draws on the lessons of open governance, adopting innovative techniques to facilitate coordination, information sharing, and evidence generation by and across increasingly diverse and global groups of Internet actors, and calls for creating practical tools to support such an effective, legitimate and evolving Internet governance ecosystem. Although no right answer or single model for how to manage all issues of relevance to the Internet is suggested within this paper, the proposed framework intends to allow for diverse experiments in distributed governance approaches to learn what works and what does not."
Medical Wikis.png,Medical Wikis Dedicated to Clinical Practice: A Systematic Review,"Alexandre Brulet, Guy Llorca, Laurent Letrilliart",2/1/2015,http://www.jmir.org/2015/2/e48/,Citizen Engagement and Crowdsourcing,Participation,Healthcare,,Comparative Analysis,"Background: Wikis may give clinician communities the opportunity to build knowledge relevant to their practice. The only previous study reviewing a set of health-related wikis, without specification of purpose or audience, globally showed a poor reliability.
Objective: Our aim was to review medical wiki websites dedicated to clinical practices.
Methods: We used Google in ten languages, PubMed, Embase, Lilacs, and Web of Science to identify websites. The review included wiki sites, accessible and operating, having a topic relevant for clinical medicine, targeting physicians or medical students. Wikis were described according to their purposes, platform, management, information framework, contributions, content, and activity. Purposes were classified as “encyclopedic” or “non-encyclopedic”. The information framework quality was assessed based on the Health On the Net (HONcode) principles for collaborative websites, with additional criteria related to users’ transparency and editorial policy. From a sample of five articles per wikis, we assessed the readability using the Flesch test and compared articles according to the wikis’ main purpose. Annual editorial activities were estimated using the Google engine.
Results: Among 25 wikis included, 11 aimed at building an encyclopedia, five a textbook, three lessons, two oncology protocols, one a single article, and three at reporting clinical cases. Sixteen wikis were specialized with specific themes or disciplines. Fifteen wikis were using MediaWiki software as-is, three were hosted by online wiki farms, and seven were purpose-built. Except for one MediaWiki-based site, only purpose-built platforms managed detailed user disclosures. The owners were ten organizations, six individuals, four private companies, two universities, two scientific societies, and one unknown. Among 21 open communities, 10 required users’ credentials to give editing rights. The median information framework quality score was 6 out of 16 (range 0-15). Beyond this score, only one wiki had standardized peer-reviews. Physicians contributed to 22 wikis, medical learners to nine, and lay persons to four. Among 116 sampled articles, those from encyclopedic wikis had more videos, pictures, and external resources, whereas others had more posology details and better readability. The median creation year was 2007 (1997-2011), the median number of content pages was 620.5 (3-98,039), the median of revisions per article was 17.7 (3.6-180.5) and 0.015 of talk pages per article (0-0.42). Five wikis were particularly active, whereas six were declining. Two wikis have been discontinued after the completion of the study.
Conclusions: The 25 medical wikis we studied present various limitations in their format, management, and collaborative features. Professional medical wikis may be improved by using clinical cases, developing more detailed transparency and editorial policies, and involving postgraduate and continuing medical education learners."
Online Consultation.png,Online Consultation and Governance Reform in Chinese Ministries and Provinces,"Steven J. Balla, Yuhan Wu",2015,http://www.lafollette.wisc.edu/images/publications/rule-Balla.pdf?utm_content=bufferbbbcd&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Citizen Engagement and Crowdsourcing,Participation,,Asia,"Comparative Analysis, Quantitative Analysis","This research examines the conditions under which Chinese central government ministries and provincial governments implement online consultation, a prominent instrument of governance reform in which officials provide interested parties with opportunities to offer feedback on proposed public policies. The research assembles original data regarding the online consultation practices of more than one hundred central government ministries and provincial governments. The analysis demonstrates that online consultation practices are more developed in provincial governments than central government ministries. Across organizational contexts, online consultation is more advanced in the disclosure of proposed policies than in the circulation of feedback submitted in response to draft laws and regulations. Finally, online consultation is primarily utilized by organizations with substantial resources, as well as organizations operating in environments not characterized by fundamental political sensitivities. These results are consistent with the expectation that although online consultation increases information disclosure and public participation in government decision making, such reforms are indicative not of the end of authoritarianism but rather the resilience of the Chinese Communist Party."
Participatory Budgeting In.png,"Participatory Budgeting in the Dominican Republic: Implications for Agency, Democracy and Development","Vasquez Duran, Marie Claire",2014,http://drum.lib.umd.edu/handle/1903/16141?utm_content=buffer95007&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Citizen Engagement and Crowdsourcing,"Effectiveness, Participation",,North America,"Quantitative Analysis, Survey","This study examines participatory budgeting (PB) as an important kind of citizen participation in the Dominican Republic (DR) and the implications of this recent practice for agency, democracy, and development. PB is a process that intends to drive change with specific outcomes: through deliberative decision-making, ordinary citizens select well-being- and agency-enhancing projects that ideally lead to more local and authentic development. Together with the attainment of these tangible outcomes, valuable subjective states may also come about: people feel more in charge of their own lives, community groups become more collaborative and cooperative, and more and better democracy is fostered. Taking a step forward from previous studies that only focus on PB from an urban planning or public finance perspective, the overall objective of this study is to provide a deeper understanding and assessment of how PB works in the localities under analysis, its association with different measures of agency, the characteristics that drive its success or failure, and its general impact on the lives of individuals and communities. Drawing on normative and policy-based literatures and specifically following an agency-oriented capability approach, this study uses a mixed-methods approach to analyze interview, survey, and direct observations of PB public assemblies, and archival data with respect to the 2013 budget cycle in four DR municipalities. A regression analysis finds that participation in and awareness of PB are both significantly correlated with individuals reporting higher levels of individual and collective agency when compared to non-participants and unaware individuals. These measures of agency are contextualized to the municipal budget-planning cycle. A process tracing analysis concludes that PB is likely, under certain conditions, to increase democratic participation and deliberation. However, due to certain democratic deficits, PB in two DR municipalities does not always increase agency, group cooperative functioning, and good development. Thus, PB must be analyzed on a case-by-case basis because differences in the characteristics of each PB assembly may lead to different outcomes. It is finally argued that rather than condemning democracy because of the failures of the current PB system, we should advance PB's democracy further by improving it in various ways."
Reimagining Governance.png,Reimagining Governance in Practice: Benchmarking British Columbia’s Citizen Engagement Efforts,"Andrew Young, Christina Rogawski, Sabeel Rahman, Stefaan Verhulst",5/1/2013,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2560761,"Citizen Engagement and Crowdsourcing, Open Data","Access, Effectiveness, Legitimacy, Participation",,North America,"Comparative Analysis, Survey","Over the last few years, the Government of British Columbia (Canada) has initiated a variety of practices and policies aimed at providing more legitimate and effective governance. Leveraging advances in technology, the Government of British Columbia (BC) has focused on changing the way it engages with its citizens with the goal of changing the way it seeks input and develops and implements policy. The efforts are part of a broader trend among a wide variety of democratic governments to re-imagine public service and governance. 

The goal of this report is to: Outline and benchmark the current state of the BC Government’s efforts in improving transparency, citizen engagement and streamlined service delivery; Inspire BC officials how to build upon the existing foundation by pointing to worthwhile practices and policies drawn from case studies and reflections of current practitioners and thinkers in the field. 

For this report, we identified two central themes to position BC’s efforts. For each theme, the report provides an account of what BC is currently doing - benchmarking it with other jurisdictions."
Score Another One.png,"Score Another One for the Internet? The Role of the Networked Public Sphere in the U.S. Net Neutrality Policy Debate""","Robert Faris, Hal Roberts, Bruce Etling, Dalia Othman, Yochai Benkler",2/1/2015,https://prodnet.www.neca.org/publicationsdocs/wwpdf/21015harvard.pdf?utm_content=buffer82284&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Citizen Engagement and Crowdsourcing,"Effectiveness, Participation",,,Quantitative Analysis,"In this paper we study the public debate over net neutrality in the United States from January through
November 2014. We compiled, mapped, and analyzed over 16,000 stories published on net neutrality,
augmented by data from Twitter, bit.ly, and Google Trends. Using a mixed-methods approach that
combines link analysis with qualitative content analysis, we describe the evolution of the debate over time
and assess the role, reach, and influence of different media sources and advocacy groups in setting the
agenda, framing the debate, and mobilizing collective action. We conclude that a diverse set of actors
working in conjunction through the networked public sphere played a central, arguably decisive, role in
turning around the Federal Communications Commission policy on net neutrality."
Surveying Citizen Science.png,Surveying the citizen science landscape,"Andrea Wiggins, Kevin Crowston",1/1/2015,http://firstmonday.org/ojs/index.php/fm/article/view/5520/4194,"Citizen Engagement and Crowdsourcing, Data Analysis",Participation,,,Survey,"Citizen science has seen enormous growth in recent years, in part due to the influence of the Internet, and a corresponding growth in interest. However, the few stand-out examples that have received attention from media and researchers are not representative of the diversity of the field as a whole, and therefore may not be the best models for those seeking to study or start a citizen science project. In this work, we present the results of a survey of citizen science project leaders, identifying sub-groups of project types according to a variety of features related to project design and management, including funding sources, goals, participant activities, data quality processes, and social interaction. These combined features highlight the diversity of citizen science, providing an overview of the breadth of the phenomenon and laying a foundation for comparison between citizen science projects and to other online communities."
Effect of Government.png,The Effect of Government Responsiveness on Future Political Participation,"Fredrik M. Sjoberg, Jonathan Mellon, Tiago Peixoto",2/26/2015,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2570898&utm_content=buffer8587b&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Citizen Engagement and Crowdsourcing,"Effectiveness, Participation",,,Statistical Modeling,"What effect does government responsiveness have on political participation? Since the 1940s political scientists have used attitudinal measures of perceived efficacy to explain participation. More recent work has focused on underlying genetic factors that condition citizen engagement. We develop a ‘Calculus of Participation’ that incorporates objective efficacy – the extent to which an individual’s participation actually has an impact – and test the model against behavioral data from FixMyStreet.com (n=399,364). We find that a successful first experience using FixMyStreet.com (e.g., reporting a pothole and having it fixed) is associated with a 54 percent increase in the probability of an individual submit-ting a second report. We also show that the experience of government responsiveness to the first report submitted has predictive power over all future report submissions. The findings highlight the importance of government responsiveness for fostering an active citizenry, while demonstrating the value of incidentally collected data to examine participatory behavior at the individual level."
The Individualization.png,The Individiualisation of Party Politics: The Impact of Changing Internal Decision-Making Processes on Policy Development and Citizen Engagement,Anika Gauja,12/23/2013,http://onlinelibrary.wiley.com/doi/10.1111/1467-856X.12035/full?utm_content=buffer3baa6&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Citizen Engagement and Crowdsourcing,"Effectiveness, Participation",,"Australia, Europe","Case Analysis, Conceptual Framework","This article examines the changing nature of the connection between citizens, party members and elites in the creation of party policy through the theoretical prism of individualisation. Using qualitative case studies of recent policy-making initiatives in the Australian Labor Party and the UK Labour Party, the article develops a new model of policy transferal that is not built upon the mass-party model of parliamentary politics, but rather upon organisational evolutions such as community consultations, online participation and supporters' networks. These evolutions, or reforms, typically emphasise the individuality of policy-making and accountability, promote new technologies for facilitating decision-making, and attempt to engage with a new style of politically active citizen. Each of these developments carries implications for how political parties facilitate participation, accountability and responsiveness in modern forms of representative democracy."
